GATA2	FLT3	CD99	GATA1	MME	LTB	MPO
Data_108	-1.05277246049432	1.45498795038755	1.18460693501427	-0.635082255225613	1.89797457952141	1.58392320629523	-0.183063120835509
Data_109	-0.962583292384567	0.78355905449803	1.29848020046336	-0.635082255225613	4.79337295247522	4.53692110991731	-0.357910157724808
Data_110	-0.856278721744454	1.25317038151928	1.06769815737905	-0.503447956223501	0.534125314094899	1.79220807926756	-0.357910157724808
Data_111	-0.632410436756592	1.07771774970327	1.48226984182642	-0.506542126924501	2.64290605294217	2.40542289736874	-0.267460056129113
Data_112	-1.38330363099579	0.473539435539993	1.26659237502752	-0.635082255225613	0.396947681121522	1.48792708766106	-0.357910157724808
Data_113	-0.770741545934151	0.607508853934108	1.27047997718039	-0.635082255225613	1.11912819221423	2.36408660358311	-0.243189078642553
Data_114	-0.62611325966744	0.981774811621633	1.05926380020319	-0.635082255225613	2.37331090627334	1.03028902709213	0.00206826682519307
Data_115	-0.649756110501892	0.417333233067937	1.39850158542748	-0.635082255225613	1.48113719227696	2.17176597676595	-0.166040544949476
Data_116	-0.125941401862162	2.0652394360192	1.11727014111413	-0.635082255225613	-0.482524498934012	0.207730073587982	0.249696948426762
Data_117	-0.910118587099362	1.03886131263439	1.082596003538	-0.635082255225613	3.06526729188434	0.510054769175273	0.129411330262503
Data_118	-0.524812621681248	1.22362758259443	1.09491782989625	-0.571136103188779	3.23355396579346	-0.256038843311901	-0.357910157724808
Data_119	-1.04755362978846	0.773926493037253	1.14630888945367	-0.635082255225613	2.10842617227309	3.52265664956284	-0.0144489313120519
Data_120	-1.25261562627444	0.566818225221135	1.23045531294571	-0.635082255225613	3.09678839774431	3.15270002215253	-0.357910157724808
Data_121	2.38785416893107	-2.07656901990668	-2.16638710931749	1.79296566865474	-0.482524498934012	-0.617473455507193	-0.357910157724808
Data_122	2.54182395095946	-2.07656901990668	-1.23768889455178	2.06228102570703	-0.482524498934012	-0.866565664616072	-0.227808581419547
Data_123	2.16639926362628	-0.554825807454278	-1.50404731849417	2.03771444921402	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_124	2.38910115869199	-1.23181763381085	-1.1559830364854	3.11023200273078	-0.482524498934012	0.235186600285506	-0.019703442604701
Data_125	2.65058435968012	-1.45136868619178	-0.758582164277355	1.89803193719595	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_126	2.46610573192703	-1.6087240209334	-1.54568887620143	0.886046735192761	-0.482524498934012	-0.866565664616072	-0.168093391353243
Data_127	1.89199016892097	-1.08884945497727	-1.02909047320013	0.304093140336128	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_128	2.20861691321331	-1.62238986401698	-0.851160158932834	0.96551724445813	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_129	1.92098314413298	-0.840410721530543	-0.692551694725917	1.62875715119246	0.658029799078098	-0.866565664616072	-0.357910157724808
Data_130	1.84103807691995	-1.4952695722439	-0.558591383163272	1.39895580317693	-0.482524498934012	-0.866565664616072	0.300238850315689
Data_131	1.79367021052891	0.0339825760870401	-1.08342507261765	1.1790555509794	-0.482524498934012	-0.866565664616072	0.411422780137383
Data_132	1.64806890206177	-1.04493238971391	-1.69304776341841	1.01176227174247	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_133	1.89240462411615	0.119511550123343	-0.747634781454113	0.417008615334468	-0.482524498934012	-0.866565664616072	-0.276428010923575
Data_134	1.60604859505434	-1.32769577225649	-1.17429275665306	-0.635082255225613	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_135	0.949697161407317	-0.99269483297672	-0.673121475170206	0.902047197055882	-0.482524498934012	-0.866565664616072	-0.159324703389983
Data_136	1.67076468816692	-1.79450867670593	-0.684838904072038	0.226749232277898	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_137	1.43928604447405	-0.45096382837911	-0.568032217758282	0.492425726340718	-0.482524498934012	0.994335524707189	-0.357910157724808
Data_138	1.08182512108842	0.640425264732777	-0.828605802700971	0.980841491038123	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_139	0.458556150018371	-1.5714405089631	-0.105958373309075	-0.331049895558324	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_140	0.452844303655095	-0.0167202555175386	-0.373181026297312	-0.635082255225613	-0.482524498934012	-0.866565664616072	-0.357910157724808
